,Work_Experience,Family_Size,Graduated_No,Graduated_Yes,Graduated_nan,Profession_encoded,Var_1_encoded,Gender_Female,Gender_Male,Ever_Married_No,Ever_Married_Yes,Ever_Married_nan,Spending_Score_Average,Spending_Score_High,Spending_Score_Low,Age_bucket
0,0.0,0.0,0.0,1.0,0.0,0.2222222222222222,0.7142857142857142,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25
1,0.5714285714285714,0.375,0.0,1.0,0.0,0.5555555555555556,0.7142857142857142,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5
2,0.0,0.0,1.0,0.0,0.0,1.0,0.7142857142857142,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
3,0.7857142857142857,0.125,1.0,0.0,0.0,0.4444444444444444,0.7142857142857142,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
4,0.1823746893751136,0.375,1.0,0.0,0.0,0.8888888888888888,0.7142857142857142,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,0.0,0.5,0.0,1.0,0.0,0.1111111111111111,0.42857142857142855,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.75
6,0.3571428571428571,0.25,0.0,1.0,0.0,0.1111111111111111,0.7142857142857142,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
7,0.07142857142857142,0.25,0.0,1.0,0.0,0.0,0.7142857142857142,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.75
8,0.14285714285714285,0.375,0.0,1.0,0.0,0.0,0.7142857142857142,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.75
9,0.0,0.375,1.0,0.0,0.0,0.5555555555555556,0.7142857142857142,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
10,0.0,0.25,1.0,0.0,0.0,0.5555555555555556,0.7142857142857142,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
11,0.0,0.625,1.0,0.0,0.0,0.5555555555555556,0.7142857142857142,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12,0.07142857142857142,0.5,0.0,1.0,0.0,0.0,0.7142857142857142,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.75
13,0.5714285714285714,0.25,1.0,0.0,0.0,0.5555555555555556,0.2857142857142857,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
14,0.0,0.25,1.0,0.0,0.0,0.1111111111111111,0.7142857142857142,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
15,0.0,0.0,0.0,1.0,0.0,0.0,0.7142857142857142,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
16,0.07142857142857142,0.25,0.0,1.0,0.0,0.7777777777777777,0.2857142857142857,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
17,0.07142857142857142,0.125,0.0,1.0,0.0,0.0,0.7142857142857142,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5
18,0.5714285714285714,0.0,0.0,1.0,0.0,0.0,0.7142857142857142,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.75
19,0.07142857142857142,0.375,0.0,1.0,0.0,0.7777777777777777,0.7142857142857142,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
20,0.1823746893751136,0.25,1.0,0.0,0.0,0.4444444444444444,0.7142857142857142,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
21,0.1823746893751136,0.22826303223239158,1.0,0.0,0.0,0.7777777777777777,0.7142857142857142,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
22,0.0,0.375,0.0,1.0,0.0,0.0,0.2857142857142857,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5
23,0.1823746893751136,0.125,1.0,0.0,0.0,0.4444444444444444,0.7142857142857142,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
24,0.6428571428571428,0.25,0.0,1.0,0.0,0.5555555555555556,0.7142857142857142,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25
25,0.3571428571428571,0.375,1.0,0.0,0.0,0.4444444444444444,0.7142857142857142,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
